"","V1"
"ENSG00000007376",0.730744848448004
"ENSG00000007392",0.202884208015945
"ENSG00000007402",0.11357341754773
"ENSG00000007516",0.22650982970742
"ENSG00000007520",0.900578558513646
"ENSG00000007541",0.67588429931252
"ENSG00000007545",0.239375951674391
"ENSG00000007923",0.182666473119557
"ENSG00000007944",0.0885239933595488
"ENSG00000007968",0.0871473554746211
"ENSG00000008018",0.930097211862649
"ENSG00000008083",0.0985140115765181
"ENSG00000008086",0.171498075076271
"ENSG00000008128",0.677231826122774
"ENSG00000008130",0.892194547230558
"ENSG00000008282",0.51864472400923
"ENSG00000008294",0.565655160756521
"ENSG00000008300",0.0589306370848401
"ENSG00000008324",0.0538359778756567
"ENSG00000008382",0.771114778938062
"ENSG00000008441",0.105569876167478
"ENSG00000008513",0.446135811792045
"ENSG00000008710",0.918489461758986
"ENSG00000008838",0.00140913732052624
"ENSG00000008853",0.0635744747143127
"ENSG00000008869",0.0532581546638265
"ENSG00000008952",0.823253669609279
"ENSG00000008988",0.0272379502284352
"ENSG00000009307",0.0774946512724134
"ENSG00000009335",0.18554272103611
"ENSG00000009413",0.201160134120738
"ENSG00000009724",0.267454938091472
"ENSG00000009780",0.0885953816411637
"ENSG00000009790",0.0568188427201552
"ENSG00000009830",0.456285279217466
"ENSG00000009844",0.943930169212448
"ENSG00000009954",0.258278808593041
"ENSG00000010017",0.847417111802649
"ENSG00000010072",0.0299829124056371
"ENSG00000010165",0.37283679900529
"ENSG00000010219",0.377571995957401
"ENSG00000010244",0.293683018084362
"ENSG00000010256",0.950364378768593
"ENSG00000010270",0.117325214346162
"ENSG00000010278",0.504093170931235
"ENSG00000010292",0.447752990841127
"ENSG00000010295",0.823484173595957
"ENSG00000010318",0.722341417152849
"ENSG00000010322",0.424504980219526
"ENSG00000010361",0.000283379273859927
"ENSG00000010404",0.114917716850336
"ENSG00000010539",0.130392484765782
"ENSG00000010626",0.878892440584332
"ENSG00000010671",0.129450000748963
"ENSG00000010803",0.67362811324047
"ENSG00000010810",0.965434656905544
"ENSG00000010818",0.4321972651718
"ENSG00000011007",0.501263126566397
"ENSG00000011009",0.0113350380144181
"ENSG00000011021",0.937678265755351
"ENSG00000011028",0.0960928485956
"ENSG00000011052",0.708256043066123
"ENSG00000011114",0.0361838765492997
"ENSG00000011132",0.218399473048062
"ENSG00000011143",0.118009847145131
"ENSG00000011198",0.0476868603520192
"ENSG00000011243",0.808808104433799
"ENSG00000011258",0.409225171337462
"ENSG00000011260",0.0929950695914266
"ENSG00000011275",0.596129706620803
"ENSG00000011295",0.821669817876861
"ENSG00000011304",0.910104823266297
"ENSG00000011376",0.134652427771912
"ENSG00000011405",0.302482416593638
"ENSG00000011451",0.3725137249266
"ENSG00000011454",0.540009315877766
"ENSG00000011478",0.0786494152170028
"ENSG00000011485",0.981285284535703
"ENSG00000011523",0.539153211956282
"ENSG00000011566",0.37659810782484
"ENSG00000011590",0.0362576788746536
"ENSG00000011600",0.512090502215544
"ENSG00000011638",0.419677648958867
"ENSG00000012048",0.230262831884785
"ENSG00000012061",0.994348337783141
"ENSG00000012124",0.291424877095155
"ENSG00000012174",0.207435164035148
"ENSG00000012211",0.497661140164984
"ENSG00000012232",0.295539205216186
"ENSG00000012660",0.249760459931746
"ENSG00000012779",0.127467484489921
"ENSG00000012817",0.870113405081175
"ENSG00000012822",0.069469728477027
"ENSG00000012963",0.738601887356337
"ENSG00000012983",0.371200587147326
"ENSG00000013016",0.0562141020553254
